,beta_rolling_63j
2024-05-01,0.06129219308272012
2024-05-02,0.032177780762922235
2024-05-03,-0.031521249999461695
2024-05-06,-0.07383229223251216
2024-05-07,-0.0470569370781893
2024-05-08,-0.05790817121116694
2024-05-09,-0.06383902841700585
2024-05-10,-0.11589922187555252
2024-05-13,-0.09357400294257341
2024-05-14,-0.09358852781276158
2024-05-15,0.05945627439348848
2024-05-16,0.03917016649704419
2024-05-17,0.06573225120617246
2024-05-20,0.06887846863030685
2024-05-21,0.06748029507330217
2024-05-22,0.08157399417269333
2024-05-23,0.17985848783978936
2024-05-24,0.1906307668565438
2024-05-27,0.20470078087666518
2024-05-28,0.20009444984663544
2024-05-29,0.202398693102627
2024-05-30,0.191483559136598
2024-05-31,0.1862820884032945
