,PDAIEUR LX Equity,EXCRISA LX Equity,LUMNUDE LX Equity
2021-07-08,-0.07434426099858381,0.07872203606388424,0.03262819802874169
2021-07-09,-0.07262479727066247,0.07927142612353602,0.03163025119372268
2021-07-13,-0.051432389452791216,0.08102896238958585,0.035420630686376305
2021-07-14,-0.06138997529568544,0.09770032893947442,0.025403982000792392
2021-07-15,-0.07475835751710674,0.09980865456534116,0.024802059473558628
2021-07-16,-0.06639853631569778,0.10028763648512458,0.024106747301836248
2021-07-20,-0.07096177525813113,0.10156841102330576,0.023197396589281823
2021-07-21,-0.05199923207247659,0.10419144591660372,0.01636072434188043
2021-07-22,-0.0516912738234416,0.10495350015990511,0.01595625593350319
2021-07-23,-0.049519237368091565,0.11311238462417021,0.016071236951991356
2021-07-27,-0.03613236278678171,0.11953490757313089,-0.008526296117974213
2021-07-28,-0.03511426120935123,0.12189901603571694,-0.004817051937590459
2021-07-29,-0.022581976558134004,0.12279214918365139,-0.004342944159862253
2021-07-30,-0.014609888207980667,0.12319049681862533,-0.04331814370420071
2021-08-03,-0.020599593901465853,0.12339575962834001,-0.08322584243104315
2021-08-04,-0.01821314290838926,0.1273686092151187,-0.08493053306724575
2021-08-05,-0.02757041159522008,0.13066007114949724,-0.05852085070392446
2021-08-06,-0.031915382386464436,0.13112576666799308,-0.05527185907166443
2021-08-10,-0.028641790397332823,0.13080590108188375,-0.06805693826539401
2021-08-11,-0.02857007522074997,0.1293746836857572,-0.06707848829085425
2021-08-12,-0.02735376599652563,0.12840991372262764,-0.06634687505779661
2021-08-13,-0.0209509847542361,0.1283299934417743,-0.04031553896852007
2021-08-17,-0.01792794954664845,0.12833854738826067,-0.04146833804896655
2021-08-18,-0.008973577016009367,0.12828756396453564,-0.04010861803107331
2021-08-19,-0.007826094650533457,0.1275588540797508,-0.05023424357745754
2021-08-20,-0.004317343193330337,0.12352360713909274,-0.04979215967505136
2021-08-24,-0.004047817091569636,0.11975302434821121,-0.05064675456423779
2021-08-25,-0.00359756018926442,0.11871796101900835,-0.04759690600421832
2021-08-26,,0.12006904477716948,-0.057932134750805074
2021-08-27,,0.11542873696562399,-0.058940344123528096
2021-08-31,0.00019562734548258726,0.11729716645442118,
2021-09-01,0.00018322715142667526,0.11913405076919877,-0.057113592024430865
2021-09-02,-0.0009203858925308458,0.1310064289714188,-0.05718151701759036
2021-09-03,-0.0012355658973746697,0.13192881236973436,-0.05759199156032289
2021-09-07,-0.0022402021533000156,0.13950108905880806,
2021-09-08,-0.0025083522006893095,0.13851189737802333,-0.05660021250563336
2021-09-09,-0.004188536612033221,0.1375947470281863,-0.05681517051940049
2021-09-10,-0.007254453096250526,0.13474936275844354,-0.05532451839819339
2021-09-14,-0.0008366920899921374,0.1344037026014506,-0.05575227402337227
2021-09-15,0.002751674603414443,0.13815851156162606,-0.05121242724847029
2021-09-16,0.0025210838820173644,0.13664937317142556,-0.05230707115471081
2021-09-17,0.017964328659731063,0.13580884858534406,-0.05184925076008425
2021-09-21,0.02214579582898421,0.13232945057353357,-0.05148596596104493
2021-09-22,0.02436691401312233,0.1335726132193062,-0.048486418948500316
2021-09-23,0.05544123488959254,0.13283090220805202,-0.045474829270393036
2021-09-24,0.05599238440454344,0.13277284178675827,-0.04337502943601942
2021-09-28,0.05440223188503657,0.13031553849465796,-0.043476304478315846
2021-09-29,0.05242774376288109,0.13303572269635117,-0.04607059061192707
2021-09-30,0.0521648440131161,0.13398005676713284,-0.04635062097642032
2021-10-01,0.0512291504412169,0.13284141958709988,-0.04281417158101173
2021-10-05,0.04859254451162252,0.13281782937674794,-0.031039347297477544
2021-10-06,0.05056211664268012,0.13534107047610883,-0.023960426991500725
2021-10-07,0.04143053855597465,0.14026048388780946,-0.0359193456035531
2021-10-08,0.04123912383946569,0.1397578168881614,-0.01073576329074525
2021-10-12,0.038385201875140385,0.14245591947133418,
2021-10-13,0.03869999643759968,0.14138713125366995,-0.006046551270244529
2021-10-14,0.03639276829683442,0.1379478628887341,-0.0044143306176163116
2021-10-15,0.036882881418723416,0.1348860376387499,0.030215958043562807
2021-10-19,0.03859249815440303,0.13372889274134356,0.028902155524101376
2021-10-20,0.038744993647355445,0.13318870961634513,0.04057783860087301
2021-10-21,0.03267590023342086,0.13400469708948426,0.04035518576301737
2021-10-22,0.03324408912296285,0.1340547160961437,0.04180952391650933
2021-10-26,0.030725818368787326,0.1353321869441177,0.04373324383794484
2021-10-27,0.03144107080603907,0.13530218214137657,0.04192439402176504
2021-10-28,0.030681873084845105,0.13506679564300164,0.04262181792370745
2021-10-29,0.023932323498119516,0.1360338031913933,0.04264880732219366
2021-11-02,,0.1371609329047082,
2021-11-03,0.02322328104576829,0.1374193745193566,0.04300039207126621
2021-11-04,0.028547715751985742,0.13264313616743686,0.04164469131963887
2021-11-05,0.028807914592584694,0.1296206999466142,0.04292867672232792
2021-11-09,0.029413281039780827,0.12944717811873255,0.04652673212524879
2021-11-10,0.030029293219025168,0.128725298422352,0.04728388997663078
2021-11-11,0.030156151027605174,0.12828037709688642,
2021-11-12,,0.12816107134631052,
2021-11-16,0.030097053210586807,0.13106171239879133,0.052612234872068925
2021-11-17,0.03136020840950041,0.1300872799293322,0.04970589716037596
2021-11-18,0.0333628324676659,0.13316193701732634,0.05170340483628485
2021-11-19,0.033010403882927905,0.13352614618405498,0.05602535670744537
2021-11-23,0.03574947488479504,0.13681708346678878,0.04954791206212451
2021-11-24,0.03583920473985768,0.13669604299633742,0.05059834305605332
2021-11-25,0.03700695700590045,0.1345706070104982,
2021-11-26,0.034749423493894,0.13103673892229994,
2021-11-30,0.031010629480476733,0.12979192210358892,0.04917853876314644
2021-12-01,0.03189033872117955,0.128250170505752,0.0495356923016452
2021-12-02,0.03397107051184053,0.13217004996640175,0.0450650471417823
2021-12-03,0.03234624159281553,0.1336896814780821,0.04502047504508595
2021-12-07,0.034548435123265386,0.13645001868168485,0.04035762930430566
2021-12-08,0.03238017433568448,0.13190438667790522,0.03504658159103102
2021-12-09,0.03228391133604948,0.12984168914830246,0.0335183590035062
2021-12-10,0.03210458213042037,0.12926654018272155,0.03482835521889247
2021-12-14,0.02654796616202976,0.1278622860797473,0.03529455103132805
2021-12-15,0.020475390841594106,0.12649797425747217,0.03514929928492768
2021-12-16,0.019609621979654504,0.1174272015634353,0.028372537891779327
2021-12-17,0.023167658255368862,0.11794651748609582,0.035735314127505496
2021-12-21,0.017742255466938448,0.12314927882871493,0.04061754708765575
2021-12-22,0.019473110699048318,0.12478698420583934,0.04310863840759971
2021-12-23,0.019112962795354408,0.12542813305477463,0.043925271962174134
2021-12-24,,0.12515372531208624,0.043831861937803966
2021-12-28,0.01842395788411429,0.12458788662460202,
2021-12-29,0.014400851765729942,0.12475358589629137,
2021-12-30,0.017838604513526743,0.12531960210203236,0.04133266903542633
